id,label,group
1,计算机视觉,root
2,深度学习,method
3,人造神经网络,method
4,图像分类任务,task
5,语义分割任务,task
6,目标检测任务,task
7,实例分割任务,task
8,线性分类器,method
9,全连接神经网络,method
10,图像生成任务,task
11,卷积神经网络,method
12,生成对抗网络,method
13,变分自编码器,method
14,扩散模型,method
15,图像矢量计算,app
16,风格迁移,app
17,语义成图,app
18,路径回溯,method
19,Score function,method
20,流形假说,theory
21,布朗运动,theory
22,DALL-E,app
23,Sora,app
24,人脸识别,app
25,医疗图像识别,app
26,自动驾驶,app
27,情绪识别,app
28,城市感知,app
29,体育赛事裁决,app
30,理论计算,root
31,表象和算法,root
32,硬件的实现,root
33,动作捕捉,app
34,ViT,method
35,Transformer,method
36,自然语言处理,app
37,循环神经网络,method
38,自注意力机制,method
39,注意力机制,method
40,AlexNet,structure
41,LeNet,structure
42,ZF Net,structure
43,VGG,structure
44,GoogLeNet,structure
45,ResNet,structure
46,GPU训练方式,feature
47,Inception模块,feature
48,卷积核堆叠组,feature
49,残差连接通道,feature
50,手写邮编识别,app
51,ImageNet比赛,app
52,激活函数,feature
53,Sigmoid,feature
54,Tanh,feature
55,ReLU,feature
56,Leaky ReLU,feature
57,Softmax,feature
58,训练模型,method
59,损失函数,method
60,数据损失,method
61,正则损失,method
62,正则项,method
63,过拟合,theory
64,随机失活,method
65,设计模型,method
66,超参数,feature
67,模型参数,feature
68,权值,feature
69,偏置,feature
70,深度,feature
71,宽度,feature
72,学习率,method
73,正则项权重,method
74,卷积层,feature
75,池化层,feature
76,局部响应归一化层,feature
77,全连接层,feature
78,卷积核组,feature
79,卷积核/滤波器,feature
80,卷积/滤波,method
81,卷积步长,method
82,边缘填充,method
83,特征提取,app
84,降噪,app
85,图片增强,app
86,Sobel,method
87,Canny,method
88,Prewitt,method
89,Gaussian,method
90,Lapacian,method
91,降采样,app
92,高斯金字塔,method
93,拉普拉斯金字塔,method
94,快速傅里叶变换,method
95,小波变换,method
96,频率域操作,method
97,哈尔小波,method
98,高通滤波,method
99,低通滤波,method
100,方向位滤波,method
101,海森堡测不准原理,theory
102,最大池化,method
103,平均池化,method
104,前向计算,method
105,反向计算,method
106,计算图,method
107,梯度,theory
108,链式法则,theory
109,梯度下降,method
110,优化算法,method
111,动量法,method
112,自适应梯度,method
113,Adam,method
114,随机梯度下降,method
115,小批量梯度下降,method
116,全样本梯度下降,method
117,冷启动问题,theory
118,数值法,method
119,解析法,method
120,Xavier法,method
121,MSRA法,method
122,合页损失,theory
123,交叉熵损失,theory
124,多类支持向量机,method
125,数据集,feature
126,训练集,feature
127,测试集,feature
128,验证集,feature
129,数据预处理,method
130,零均值化,method
131,归一化,method
132,去相关化,method
133,白化,method
134,图像表示,theory
135,Flatten,method
136,特征表示,theory
137,特征缩放,method
138,特征编码,method
139,独热编码,method
140,标签编码,method
141,局部特征表示,method
142,全局特征表示,method
143,GIST,method
144,Bag of Features,method
145,Gabor滤波器组,method
146,词袋模型,method
147,评估模型,method
148,正确确率,method
149,召回率,method
150,F1 Score,method
151,精准度,method
152,混淆矩阵,theory
153,规则/硬编码,method
154,语义隔阂,theory
155,呈现型问题,theory
156,成像型问题,theory
157,分类型问题,theory
158,视角问题,theory
159,尺度问题,theory
160,遮挡问题,theory
161,形变问题,theory
162,背景杂糅问题,theory
163,光照问题,theory
164,运动虚化问题,theory
165,多形态问题,theory
166,类别数量问题,theory
167,类别层次问题,theory
168,图像,feature
169,二值图像,feature
170,灰度图像,feature
171,彩色图像,feature
172,色彩空间,theory
173,RGB,theory
174,CMYK,theory
175,JPEG,feature
176,PNG,feature
177,TIFF,feature
178,SVG,feature
179,GIF,feature
180,BMP,feature
181,空间域操作,method
182,点运算,method
183,形态学运算,method
184,领域运算,method
185,直方图均衡,method
186,CLAHE,method
187,膨胀算法,method
188,腐蚀算法,method
189,开运算,method
190,闭运算,method
191,图像金字塔,feature
192,样本增强,method
193,镜像翻转,method
194,色彩抖动,method
195,切割缩放,method
196,自适应搜索,method
197,梯度爆炸,theory
198,梯度消失,theory
199,梯度裁剪,method
200,批归一化,method
201,硬件系统,method
202,光源,feature
203,镜头,feature
204,相机,feature
205,感光元件,feature
206,荧光灯,feature
207,卤素灯,feature
208,LED,feature
209,打光,feature
210,低角度,theory
211,高角度/前向光直射,theory
212,穹顶照明/前向光漫射,theory
213,背光,theory
214,同轴光,theory
215,成像,feature
216,聚焦,feature
217,曝光,feature
218,变焦,feature
219,光圈,feature
220,焦距,theory
221,景深,theory
222,快门,feature
223,分辨率,theory
224,电荷耦合器件,feature
225,互补金属氧化物半导体,feature
226,全快门,feature
227,卷帘快门,feature
228,果冻效应,theory
229,地理信息科学,theory
230,地理信息系统,theory
